date,latitude,longitude,sst
2018-01,-44,284,14.2142725
2018-01,-44,286,14.258166
2018-01,-44,288,
2018-01,-44,290,
2018-01,-44,292,
2018-01,-44,294,
2018-01,-44,296,17.045029
2018-01,-44,298,16.475977
2018-01,-44,300,15.431127
2018-01,-44,302,14.921871
2018-01,-44,304,15.611345
2018-01,-44,306,16.676765
2018-01,-44,308,17.057186
2018-01,-44,310,16.709524
2018-01,-44,312,16.073435
2018-01,-44,314,15.431943
2018-01,-42,100,13.742389
2018-01,-42,102,13.547935
2018-01,-42,104,13.326567
2018-01,-42,106,13.184221
2018-01,-42,108,13.200022
2018-01,-42,110,13.268998
2018-01,-42,112,13.326771
2018-01,-42,114,13.39878
2018-01,-42,116,13.508856
2018-01,-42,118,13.633672
2018-01,-42,120,13.717883
2018-01,-42,122,13.732647
2018-01,-42,124,13.713558
2018-01,-42,126,13.783468
2018-01,-42,128,13.963019
2018-01,-42,130,14.217606
2018-01,-42,132,14.474133
2018-01,-42,134,14.864164
2018-01,-42,136,15.258289
2018-01,-42,138,15.664929
2018-01,-42,140,16.050383
2018-01,-42,142,16.485926
2018-01,-42,144,16.96397
2018-01,-42,146,17.432798
2018-01,-42,148,
2018-01,-42,150,18.818237
2018-01,-42,152,18.795948
2018-01,-42,154,18.65667
2018-01,-42,156,18.55491
2018-01,-42,158,18.476585
2018-01,-42,160,18.382915
2018-01,-42,162,18.368221
2018-01,-42,164,18.51845
2018-01,-42,166,18.824753
2018-01,-42,168,19.19596
2018-01,-42,170,19.210342
2018-01,-42,172,18.65356
2018-01,-42,174,18.08877
2018-01,-42,176,18.038221
2018-01,-42,178,18.36418
2018-01,-42,180,18.53644
2018-01,-42,182,18.463907
2018-01,-42,184,18.324606
2018-01,-42,186,18.150753
2018-01,-42,188,17.968882
2018-01,-42,190,17.78371
2018-01,-42,192,17.61837
2018-01,-42,194,17.466335
2018-01,-42,196,17.305141
2018-01,-42,198,17.147522
2018-01,-42,200,17.011084
2018-01,-42,202,16.902052
2018-01,-42,204,16.798891
2018-01,-42,206,16.689528
2018-01,-42,208,16.520857
2018-01,-42,210,16.350489
2018-01,-42,212,16.175182
2018-01,-42,214,15.954471
2018-01,-42,216,15.715147
2018-01,-42,218,15.493828
2018-01,-42,220,15.255136
2018-01,-42,222,15.069967
2018-01,-42,224,14.910724
2018-01,-42,226,14.824206
2018-01,-42,228,14.774256
2018-01,-42,230,14.74887
2018-01,-42,232,14.769672
2018-01,-42,234,14.869838
2018-01,-42,236,15.022364
2018-01,-42,238,15.169109
2018-01,-42,240,15.309463
2018-01,-42,242,15.458065
2018-01,-42,244,15.602764
2018-01,-42,246,15.710417
2018-01,-42,248,15.769166
2018-01,-42,250,15.782997
2018-01,-42,252,15.773114
2018-01,-42,254,15.756135
2018-01,-42,256,15.751736
2018-01,-42,258,15.745721
2018-01,-42,260,15.728421
2018-01,-42,262,15.724819
2018-01,-42,264,15.687761
2018-01,-42,266,15.633357
2018-01,-42,268,15.571801
2018-01,-42,270,15.50112
2018-01,-42,272,15.433818
2018-01,-42,274,15.396357
2018-01,-42,276,15.333025
2018-01,-42,278,15.288144
2018-01,-42,280,15.351592
2018-01,-42,282,15.427988
2018-01,-42,284,15.333012
2018-01,-42,286,15.026829
